体系编号,体系名,C1本体,C2本源参数,C3几何载体,C4内禀代数,C5维度,C6动力学,C7光速地位,C8自由参数,C9冻结预测,C10最高证据
"s01_triad_kinematics","螺旋三重奏与谱几何","无（纯数学框架）","(κ, τ, ω)","Frenet–Serret 标架","—","4","partial","n_a","—","0","mathematical_result"
"s02_light_speed_helix_force","空间光速螺旋统一力","统一力动力学","m, c, v","无几何本体","—","4","partial","limit","—","0","conjecture"
"s03_gaq_geometric_atom","GAQ 几何原子与作用量子","离散几何元胞","L_p, T_p","离散元胞","—","—","partial","geometric","—","0","conjecture"
"s04_ieg_information_gravity","IEG 信息熵引力","几何信息场","信息熵","信息几何","—","—","partial","n_a","—","0","conjecture"
"s05_hdu_higher_dimensions","HDU 高维紧致化统一","高维几何","紧致化参数","11 维嵌入","—","11→4","partial","n_a","—","0","conjecture"
"s06_tcl_topological_chirality","TCL 拓扑手征锁定","边界态与手征","手征量子数","Cl(4,4)","Cl(4,4)","—","partial","n_a","—","0","conjecture"
"s07_gaq_complex_curvature","GAQ 复曲率融合体系","复曲率本体","Ξ = κ + iτ","复曲率","—","—","partial","geometric","—","0","conjecture"
"s08_gaq_geometrized_constants","GAQ 常数几何化体系","复曲率（继承）","Ξ；c、ħ 降为桥梁","复曲率","—","—","partial","geometric","—","0","conjecture"
"s09_gaq_mass_spectrum","GAQ 粒子质量谱体系","复曲率（继承）","Ξ","复曲率","SO(3)","—","partial","geometric","—","0","conjecture"
"s10_frequency_helix_ontology","频率本源与复螺旋宇宙","振动/频率","频率、作用量子","复曲率轨迹","—","—","partial","limit","—","0","conjecture"
"s11_gmuft_geometric_coupling","GMUFT 几何自由度与耦合","四几何自由度","u_r, u_⊥, θ","曲率/挠率/拖拽","—","4","none","identity","—","0","conjecture"
"s12_light_speed_helix","空间光速螺旋统一体系","空间以光速螺旋运动","c, κ, τ","空间光速螺旋","—","4","partial","identity","—","0","conjecture"
"s13_duality_fractal_uft","全域双向分形统一场论","0/1 对偶基元","(a, ā) 对偶对","Hopf 纤维丛","U(2)=SU(2)×U(1)","4","complete","n_a","—","0","numerical_check"
"s14_torsion_unified_field_tuft","挠率统一场论 TUFT","时空光速螺旋形变","K, T, Ω","主丛","SO(1,3)×U(1)×SU(2)×SU(3)","4","complete","identity","—","0","falsified(多项)"
"p01_space_compression","空间压缩与密度本体","—","—","—","—","—","none","—","—","0","conjecture"
"p02_matter_source","物体驱动与源场本体","—","—","—","—","—","none","—","—","0","conjecture"
"p03_gauge_unification","规范对称统一候选","—","—","—","—","—","none","—","—","0","conjecture"
"p04_quantum_emergence","量子结构与时空涌现候选","—","—","—","—","—","none","—","—","0","conjecture"
"候登记_um","全域数学统一场论 UM","空间自身几何属性","c, κ, τ","32 维超复数","—","—","partial","geometric","—","0","conjecture"
"候登记_v21omega","V21 Ω 元一方程","元一方程 N","N","—","—","—","none","n_a","—","0","conjecture"
