"claim_id","system","section","claim_zh","claim_en","statement","scope","derivation_ref","script_ref","numeric_value","residual","evidence_level","status","last_checked"
"S02-001","S02","§12","圆偏振能流纯轴向","Circular-polarization Poynting flux is purely axial","圆偏振平面波（实验室固定偏振基）的 Poynting 能流无横向分量：|S_⊥|=0，|S|/u=c，ω/K=c","标准电磁平面波、真空、单色","§12.2 求导证明","01_独立体系/S02_空间光速螺旋统一力/04_理论推导/lightspeed_helix_poynting.py","|S_⊥|/|S|=0；|S|/u=1.000000c","0（机器零）","numerical_check","verified","2026-09-25"
"S02-002","S02","§12","每光子自旋 1.000000ℏ","Photon spin = 1.000000 ℏ per photon","圆偏振单色平面波每个光子携带自旋角动量 1.000000 ℏ（数值精算）","真空单色圆偏振","§12.3","01_独立体系/S02_空间光速螺旋统一力/04_理论推导/lightspeed_helix_spin.py","1.000000","~1e-16","numerical_check","verified","2026-09-25"
"S02-003","S02","§12","一般偏振 SAM=σℏ","General polarization SAM = σℏ","一般椭圆偏振的自旋角动量为 σℏ，σ=2ab/(a²+b²)，a,b 为椭圆半轴","任意椭圆偏振平面波","§12.4","01_独立体系/S02_空间光速螺旋统一力/04_理论推导/lightspeed_helix_polarization.py","σ=2ab/(a²+b²)","0（恒等式）","mathematical_result","verified","2026-09-25"
"S02-004","S02","§12","横波场方向曲线必为平面","Transverse wave direction curve is planar","横波场的方向曲线（电场矢量随位置的变化曲线）必为平面曲线，故 τ≡0；推广不变量 ⟨κ⟩·L=2π（∮κ ds/2π=1.000000）","三维空间横波场、Frenet 几何","§12.5 定理（平面曲线几何）","01_独立体系/S02_空间光速螺旋统一力/04_理论推导/lightspeed_helix.py","∮κds/2π=1.000000","~1e-16","mathematical_result","verified","2026-09-25"
"S02-005","S02","§12","τ 非自由真空可观测量","τ is not a free vacuum observable","把世界线挠率 τ 当作可独立设定的真空自由度并声称其与自旋投影一一对应的图景被证伪：θ=π/2 纯扭转极限 u_prop=0 无传播波，τ↔自旋投影无对应","S02 螺旋统一力框架","§15 守恒律审计","01_独立体系/S02_空间光速螺旋统一力/11_证伪与反例/光速螺旋重构_τ分支物理性冲突记录.md","u_prop(θ=π/2)=0","1.000（O(1) 判据）","mathematical_result","falsified","2026-09-25"
"S02-006","S02","§12","κ²+τ²=K² 仅为圆偏振特例","κ²+τ²=K² holds only for circular polarization","「κ²+τ²=K²」原作为普适色散关系的宣称被收窄：仅在圆偏振（θ=0）情形成立，一般偏振不成立","S02 色散关系","§12.9 订正","01_独立体系/S02_空间光速螺旋统一力/11_证伪与反例/光速螺旋重构_τ分支物理性冲突记录.md","θ=45° 残差 1.000","1.000（O(1)）","numerical_check","superseded","2026-09-25"
"S02-007","S02","§16","LG₀ₗ 涡旋真空场满足守恒律","LG₀ₗ vortex vacuum field satisfies ∇_μT^μν=0","傍轴拉盖尔-高斯 LG₀ₗ 涡旋光（实验室固定偏振、相位拓扑 e^{ilφ}）作为真空无源 Maxwell 解，能动张量协变散度严格为零，全局 Noether 平移/转动守恒成立","真空、傍轴 kw₀≫1","§16.2 解析求导证明","01_独立体系/S02_空间光速螺旋统一力/04_理论推导/oam_tuft_couple_audit.py","∇_μT^μν=0","0（解析恒等）；数值 ~1e-11","mathematical_result","verified","2026-09-25"
"S02-008","S02","§16","常κ,τ 螺旋 Darboux 矢量恒定","Darboux vector constant for constant κ,τ","常曲率常挠率螺旋世界线的实验室系 Darboux 矢量恒定，dω_D/ds=0，沿螺旋轴 |ω_D|=√(κ²+τ²)（§15 引入的核心判据）","S02 粒子几何","§15/§16 判据","01_独立体系/S02_空间光速螺旋统一力/04_理论推导/momentum_darboux.py","|dω_D/ds|=0","~1e-16","mathematical_result","verified","2026-09-25"
"S02-009","S02","§16","耦合强度线性依赖拓扑荷 l","Coupling strength linear in l","涡旋场总角动量与 Darboux 矢量耦合 ⟨J_coupl⟩=ℏ(l+s_z)√(κ²+τ²)，耦合强度线性正比于拓扑荷 l；l=-s_z 为零耦合点","S02 §16 场-几何耦合","§16.4","01_独立体系/S02_空间光速螺旋统一力/04_理论推导/oam_tuft_couple_audit.py","⟨J_coupl⟩=ℏ(l+s_z)ω_D","~1e-15","mathematical_result","verified","2026-09-25"
"S02-010","S02","§13","Frenet 标架作偏振基破坏 Maxwell+Noether","Frenet frame as polarization basis violates Maxwell+Noether","把粒子 Frenet 随动标架直接作为电磁场偏振基的方案不满足真空 Maxwell（θ≠0 时 ∇·E≠0、θ=0 时 k_eff=0 场不传播）且显式破坏平移/转动对称性；no-go：|k+q|=|k-q|=ω/c ⟹ q=0","S02 §13 原拟设","§15 no-go 定理","01_独立体系/S02_空间光速螺旋统一力/04_理论推导/conservation_maxwell_audit.py","θ=45°: ∇·E=0.500, Faraday=1.000","0.5–1.0（O(1)）","mathematical_result+numerical_check","falsified","2026-09-25"
