现象,主控子系统,证据状态,判定,备注
引力几何化,G=c³/[ℏ(κ_G²+τ_G²)],OPEN,BOUNDARY,依赖ρ无独立来源
电磁力几何化,α=τ/κ=tanθ,PASS,BOUNDARY,参数化非第一性推导
强核力几何化,F_S=1/α,OPEN,BOUNDARY,归一化约定非推导
弱核力几何化,F_W=α⁰=1,OPEN,BOUNDARY,归一化约定非推导
精细结构常数本源,α=sin(1/(137+Δ_top)),OPEN,BOUNDARY,N=137未由拓扑证明
质量几何化,m=ℏ/(cρ_C),BOUNDARY,BOUNDARY,依赖ρ_C无独立来源
能量几何化,E=ℏc/ℓ=ℏω,PASS,PASS,几何+量子闭合
动量几何化,p=ℏ/ℓ,PASS,PASS,几何+量子闭合
电荷几何化,e²=4πε₀ℏc·α,PASS,INFO,由α定义反推的恒等式
真空阻抗,ε₀μ₀=1/c²,PASS,INFO,定义式恒等式
引力强度归一化占比99.27%,F_G=1/α²,PASS,BOUNDARY,代数正确但属归一化约定
引力现实中最小（表观）,G_eff(E)∝1/E²,PASS,PASS,标准认识重述
阴阳平衡,cos²θ+sin²θ=1,PASS,PASS,三角函数恒等
频率控制引力,A∝ω²,BOUNDARY,BOUNDARY,定性方向自洽
第五力=暗能量,F₅=(ℏ/2)dω/dt,OPEN,BOUNDARY,唯象构造无独立来源
曲率驱动,κ_drive=ρω²/c²,OPEN,BOUNDARY,几何类比
高阶力（暗物质/量子涨落）,F_n=αⁿ/N,OPEN,INFO,数学项命名缺观测验证
人工引力场/引力屏蔽/超光速,技术应用愿景,OPEN,INFO,无实验支撑
N=137拓扑本源,Index(D)=N_twist,OPEN,BOUNDARY,三条路径未收口
18917素数锚点,18917=第2153个素数,PASS,INFO,数学事实可验证
归一化因子N两定义冲突,N_A≈18916.9 vs N_B≈18907,CONFLICT,FAIL,数值差约10未统一
