分箱,原文件,迁入路径,字节,主题,体系线索（待人工核验）,动作
00_核心主论与总纲,1.md,00_核心主论与总纲/1.md,9513,框架总纲、主论文与总结版,体系一 空间螺旋几何本体论（地基）,copied
00_核心主论与总纲,核心理论体系总纲.md,00_核心主论与总纲/核心理论体系总纲.md,12690,框架总纲、主论文与总结版,体系一 空间螺旋几何本体论（地基）,copied
00_核心主论与总纲,最伟大的统一场论：无量纲全数学化突破——空间时间本源.md,00_核心主论与总纲/最伟大的统一场论：无量纲全数学化突破——空间时间本源.md,23190,框架总纲、主论文与总结版,体系一 空间螺旋几何本体论（地基）,copied
00_核心主论与总纲,算法联盟最高权限：全维几何化总纲——无循环无自由参数量纲闭合可验证.md,00_核心主论与总纲/算法联盟最高权限：全维几何化总纲——无循环无自由参数量纲闭合可验证.md,13377,框架总纲、主论文与总结版,体系一 空间螺旋几何本体论（地基）,copied
00_核心主论与总纲,算法联盟最高权限：正确内容总结版——突破空间螺旋几何化语言.md,00_核心主论与总纲/算法联盟最高权限：正确内容总结版——突破空间螺旋几何化语言.md,11081,框架总纲、主论文与总结版,体系一 空间螺旋几何本体论（地基）,copied
00_核心主论与总纲,算法联盟最高权限：核心内容总结与Python验证.md,00_核心主论与总纲/算法联盟最高权限：核心内容总结与Python验证.md,8008,框架总纲、主论文与总结版,体系一 空间螺旋几何本体论（地基）,copied
01_精细结构常数拓扑本源,算法联盟最高权限：从拓扑本征值推出N=137——完成α的本源推导.md,01_精细结构常数拓扑本源/算法联盟最高权限：从拓扑本征值推出N=137——完成α的本源推导.md,16007,α 的拓扑本征值/谱流/量子相位三条推导路径与 Δ_top 精算,体系二 α 几何化与拓扑本源,copied
01_精细结构常数拓扑本源,算法联盟最高权限：精确计算拓扑修正项Δ_top——完成α的精确推导.md,01_精细结构常数拓扑本源/算法联盟最高权限：精确计算拓扑修正项Δ_top——完成α的精确推导.md,22890,α 的拓扑本征值/谱流/量子相位三条推导路径与 Δ_top 精算,体系二 α 几何化与拓扑本源,copied
02_力系归一化与引力悖论,为什么引力最大：力的几何归一化统一场论.md,02_力系归一化与引力悖论/为什么引力最大：力的几何归一化统一场论.md,8648,四力归一化和 = 1；引力在归一化层最大、在表观层最小的悖论,体系三 力系归一化 + 体系九 引力最大 vs 最小,copied
02_力系归一化与引力悖论,引力为什么现实中最小：归一化强度与表观强度的悖论.md,02_力系归一化与引力悖论/引力为什么现实中最小：归一化强度与表观强度的悖论.md,9648,四力归一化和 = 1；引力在归一化层最大、在表观层最小的悖论,体系三 力系归一化 + 体系九 引力最大 vs 最小,copied
