名称,符号,自旋,统计,质量量纲,SU3表示,SU2表示,U1超荷Y,电荷Q,多重态数,在壳自由度,质量,是否传播,传播子分母,来源,备注
引力子（度规扰动）,h_μν,2,玻色,0,1,1,0,0,1,2,0,是,k²,推导,(E) 的线性化解；两个张量极化
vierbein,e^a_μ,1,玻色,0,1,1,0,0,1,6,—,是,—,定义,基本变量；16 分量减去 6 个局域洛伦兹 gauge 余 10
自旋联络,ω^ab_μ,1,玻色,1,1,1,0,0,1,0,—,否,—,推导,由 (C) 代数决定，非传播
挠率,T^a_μν,1,玻色,1,1,1,0,0,1,0,—,否,—,推导,代数方程 (C)；由自旋流决定，全反对称
曲率,R^ab_μν,2,玻色,2,1,1,0,0,1,0,—,否,—,推导,"𝔰𝔬(1,3) 分量的统一曲率 F"
胶子,G^A_μ,1,玻色,1,8,1,0,0,8,16,0,是,k²,推导,f^ABC≠0 导致三/四胶子顶点
弱玻色子（未破缺）,W^i_μ,1,玻色,1,1,3,0,0,3,6,0,是,k²,推导,幺正规范下重组为 W±/Z/γ
超荷玻色子,B_μ,1,玻色,1,1,1,0,0,1,2,0,是,k²,推导,阿贝尔，无自相互作用
W⁺ 玻色子,W⁺_μ,1,玻色,1,1,1,0,+1,1,3,80.377 GeV,是,k²−m_W²,推导,m_W = g₂v/2；质量来自 Higgs 机制
W⁻ 玻色子,W⁻_μ,1,玻色,1,1,1,0,−1,1,3,80.377 GeV,是,k²−m_W²,推导,W⁺ 的反粒子
Z 玻色子,Z_μ,1,玻色,1,1,1,0,0,1,3,91.1876 GeV,是,k²−m_Z²,推导,m_Z = (v/2)√(g₂²+g₁²)
光子,A_μ（γ）,1,玻色,1,1,1,0,0,1,2,<1e−18 eV,是,k²,推导,U(1)_em 未破缺 ⇒ 质量被对称性保护
Higgs 二重态,H,0,玻色,1,1,2,+1/2,0/+1,1,4,—,是,k²−m_h²,推导,复二重态 = 4 实分量
物理 Higgs,h,0,玻色,1,1,1,0,0,1,1,125.25 GeV,是,k²−m_h²,推导,m_h² = 2λv² ⇒ λ = 0.129
Goldstone 玻色子,G^± G⁰,0,玻色,1,1,1,0,0,3,0,0,否,—,推导,被 W±/Z 吸收为纵向极化
左手夸克二重态,Q_L,1/2,费米,3/2,3,2,+1/6,+2/3 −1/3,6,12,输入,是,γ·p,输入,质量由 Yukawa 输入，非推导
右手上型夸克,u_R,1/2,费米,3/2,3,1,+2/3,+2/3,3,6,输入,是,γ·p−m_u,输入,"m_u, m_c, m_t 为输入"
右手下型夸克,d_R,1/2,费米,3/2,3,1,−1/3,−1/3,3,6,输入,是,γ·p−m_d,输入,"m_d, m_s, m_b 为输入"
左手轻子二重态,L_L,1/2,费米,3/2,1,2,−1/2,0 −1,2,4,输入,是,γ·p,输入,包含 ν_L 与 e_L
右手带电轻子,e_R,1/2,费米,3/2,1,1,−1,−1,1,2,输入,是,γ·p−m_e,输入,"m_e, m_μ, m_τ 为输入"
右手中微子,ν_R,1/2,费米,3/2,1,1,0,0,1,2,输入,是,γ·p−m_ν,输入,2026-09-19 L1 修复新增；Dirac 质量 m_ν=y_ν v/√2（y_ν∼3×10⁻¹³）
