来源名,类型,来料区,分箱,文件数,大小,状态,归属线索 / 不写入理由
OpenUFT 仓库总览（重建）.md,文件,md,00_OpenUFT镜像快照,1,4.93 KB,已写入（copy）,待归属（线索：openuft 自身的历史镜像（旧布局：00_统一场方程/ + 根级 08/09/11/12）。**不得当作来源证据重复引用**，只用于比对现行仓库缺了什么）
claims.csv,文件,md,00_OpenUFT镜像快照,1,9.00 KB,已写入（copy）,待归属（线索：openuft 自身的历史镜像（旧布局：00_统一场方程/ + 根级 08/09/11/12）。**不得当作来源证据重复引用**，只用于比对现行仓库缺了什么）
正和岛_OpenUFT_全维分析报告.md,文件,md,00_OpenUFT镜像快照,1,10.01 KB,已写入（copy）,待归属（线索：openuft 自身的历史镜像（旧布局：00_统一场方程/ + 根级 08/09/11/12）。**不得当作来源证据重复引用**，只用于比对现行仓库缺了什么）
统一场论_openuft_2026-09-25_r2,目录,zip/解压内容,00_OpenUFT镜像快照,34,197.93 KB,已写入（copy）,待归属（线索：openuft 自身的历史镜像（旧布局：00_统一场方程/ + 根级 08/09/11/12）。**不得当作来源证据重复引用**，只用于比对现行仓库缺了什么）
统一场论全书_v1,目录,zip/解压内容,01_统一场论全书_版本序列,18,222.78 KB,已写入（copy）,待归属（线索：《统一场论》成书稿的 v1–v10 递进版本序列，线索：与 书籍/ 成书线同名）
统一场论全书_v2,目录,zip/解压内容,01_统一场论全书_版本序列,27,470.89 KB,已写入（copy）,待归属（线索：《统一场论》成书稿的 v1–v10 递进版本序列，线索：与 书籍/ 成书线同名）
统一场论全书_v3,目录,zip/解压内容,01_统一场论全书_版本序列,33,631.14 KB,已写入（copy）,待归属（线索：《统一场论》成书稿的 v1–v10 递进版本序列，线索：与 书籍/ 成书线同名）
统一场论全书_v4,目录,zip/解压内容,01_统一场论全书_版本序列,39,773.24 KB,已写入（copy）,待归属（线索：《统一场论》成书稿的 v1–v10 递进版本序列，线索：与 书籍/ 成书线同名）
统一场论全书_v6,目录,zip/解压内容,01_统一场论全书_版本序列,51,976.69 KB,已写入（copy）,待归属（线索：《统一场论》成书稿的 v1–v10 递进版本序列，线索：与 书籍/ 成书线同名）
统一场论全书_v7,目录,zip/解压内容,01_统一场论全书_版本序列,60,1.22 MB,已写入（copy）,待归属（线索：《统一场论》成书稿的 v1–v10 递进版本序列，线索：与 书籍/ 成书线同名）
统一场论全书_v8,目录,zip/解压内容,01_统一场论全书_版本序列,72,1.46 MB,已写入（copy）,待归属（线索：《统一场论》成书稿的 v1–v10 递进版本序列，线索：与 书籍/ 成书线同名）
统一场论全书_v9,目录,zip/解压内容,01_统一场论全书_版本序列,82,1.68 MB,已写入（copy）,待归属（线索：《统一场论》成书稿的 v1–v10 递进版本序列，线索：与 书籍/ 成书线同名）
统一场论全书_当前完整版,目录,zip/解压内容,01_统一场论全书_版本序列,68,1.42 MB,已写入（copy）,待归属（线索：《统一场论》成书稿的 v1–v10 递进版本序列，线索：与 书籍/ 成书线同名）
统一场论全书_终稿_v10_102万字,目录,zip/解压内容,01_统一场论全书_版本序列,88,1.92 MB,已写入（copy）,待归属（线索：《统一场论》成书稿的 v1–v10 递进版本序列，线索：与 书籍/ 成书线同名）
Doubao-GAQ-UFT V18 论文全维度分析验证-2026-08-06.md,文件,md,02_GAQ与GMUFT几何统一场,1,74.35 KB,已写入（copy）,待归属（线索：与 S03/S07/S08/S09 GAQ 系列及几何流形路线同名）
GAQ-UFT V∞ 全域光速螺旋统一场论（完整项目ZIP）,目录,zip/解压内容,02_GAQ与GMUFT几何统一场,5,121.40 KB,已写入（copy）,待归属（线索：与 S03/S07/S08/S09 GAQ 系列及几何流形路线同名）
