起点,关系,终点,依据,状态
"s07_gaq_complex_curvature","version_of","s03_gaq_geometric_atom","GAQ v1→v4 同一复曲率本体","active"
"s08_gaq_geometrized_constants","version_of","s07_gaq_complex_curvature","v5 把 c/ħ 降为几何桥梁","active"
"s09_gaq_mass_spectrum","version_of","s08_gaq_geometrized_constants","v6 加代结构与质量比","active"
"s04_ieg_information_gravity","version_of","s03_gaq_geometric_atom","GAQ v3 拆出 IEG 分支","active"
"s05_hdu_higher_dimensions","version_of","s03_gaq_geometric_atom","GAQ v3 拆出 HDU 分支","active"
"s06_tcl_topological_chirality","version_of","s03_gaq_geometric_atom","GAQ v3 拆出 TCL 分支","active"
"s06_tcl_topological_chirality","competes","s09_gaq_mass_spectrum","同为 π₃(SU(3))×ℤ₂=6，Cl(4,4) vs SO(3) 不同阐述","active"
"s12_light_speed_helix","borrows_math","s02_light_speed_helix_force","借用 P=m(c−v)、F=dP/dt（登记为 S12-A4 借用项）","active"
"s12_light_speed_helix","competes","s10_frequency_helix_ontology","v≡c 恒等 vs v≤c 上限，本体互斥","active"
"s10_frequency_helix_ontology","borrows_math","s01_triad_kinematics","共用 κ²+τ²=(ω/v)² 骨架","active"
"s12_light_speed_helix","borrows_math","s01_triad_kinematics","共用 κ²+τ²=(ω/v)² 骨架","active"
"s13_duality_fractal_uft","independent","s12_light_speed_helix","0/1 对偶基元 vs 空间光速运动，无公设交集","active"
"s13_duality_fractal_uft","independent","s14_torsion_unified_field_tuft","L1 本体互斥，不可公度","active"
"s14_torsion_unified_field_tuft","borrows_math","s01_triad_kinematics","Frenet 曲率/挠率语言","active"
"s11_gmuft_geometric_coupling","competes","s14_torsion_unified_field_tuft","同为几何自由度路线，场方程完备性不同","active"
"实现:TUFT主线 v2–v18","implements","s14_torsion_unified_field_tuft","tuft_v*.py 系列与独立审计裁决","active"
"实现:TUFT原始工作区 tuft/","implements","s14_torsion_unified_field_tuft","tuft_r1–r25 成对脚本","archived"
"实现:全域统一场论书稿","implements","s13_duality_fractal_uft","六方程闭环 M1–M6 书稿；命名含 TUFT 但本体属 s13","active"
"实现:GAQ-UFT 成书","implements","s03_gaq_geometric_atom","7 卷成书，覆盖 s03/s07/s08/s09","active"
"实现:GAQ 谱系 v1→v6","implements","s03_gaq_geometric_atom","gaq_uft_*.py 系列","active"
"实现:空间光速螺旋族展示","implements","s12_light_speed_helix","单页 HTML 展示层","active"
"实现:空间光速螺旋族展示","implements","s10_frequency_helix_ontology","共用 α=tanθ=τ/κ 视觉语言","active"
"实现:空间光速螺旋族展示","implements","s02_light_speed_helix_force","四力来源图","active"
"实现:三分量统一场论库 triad_uft/","implements","s01_triad_kinematics","triad.py / geometry.py","active"
"实现:三分量统一场论库 triad_uft/","implements","s12_light_speed_helix","light_speed_helix.py","active"
"实现:GMUFT v2.1","implements","s11_gmuft_geometric_coupling","verify_gmuft_v21.py","active"
"实现:算法联盟自洽引擎","implements","跨体系","量纲/自由度/量纲零空间审计","active"
"实现:双向分形 bifuf","implements","候裁定","**disputed**，见档案","disputed"
"实现:全域数学 UM","implements","候登记","uft/06-论文/","candidate"
"实现:V21 Ω 元一方程","implements","候登记","V21_Ω…txt","candidate"
"s14_torsion_unified_field_tuft","falsified_by","S14-C0001 挠率多分量相加为类型错误","维数不可加；实为 SM 表示论重述","falsified"
"s14_torsion_unified_field_tuft","falsified_by","S14-C0002 sin²θ_W 尺度混淆","1/4 vs 0.23122 差 8.12%","falsified"
"s14_torsion_unified_field_tuft","falsified_by","S14-C0003 1-loop SM 三耦合不汇聚","10^16 GeV 处 21.0% 分散","falsified"
"s13_duality_fractal_uft","falsified_by","1D 绕数（π₁(S²)=0）","已改 3D Hopf（π₃(S²)=ℤ）","falsified"
