id,citation,status,url,local_path
ZXQ2024,"Zhang X Q. Unified Field Theory (Academic Edition): Extraterrestrial Technology[M]. Hope Grace Publishing, 2024. ISBN: 978-1966423058.",用户提供；未取得全文，出版社和 ISBN 尚未独立核实,,
REF001,"A. Einstein. Die Feldgleichungen der Gravitation[J]. Sitzungsber. Preuss. Akad. Wiss., 1915, 1915: 844-847.",按原有条目规范化；未独立核实版次、完整页码或出版元数据,,
REF002,"Einstein A. Die Grundlage der allgemeinen Relativitätstheorie[J]. Annalen der Physik, 1916, 354(7): 769-822. DOI: 10.1002/andp.19163540702.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1002/andp.19163540702,
REF003,"Einstein A., Podolsky B., Rosen N. Can Quantum-Mechanical Description of Physical Reality Be Considered Complete?[J]. Physical Review, 1935, 47(10): 777-780. DOI: 10.1103/physrev.47.777.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1103/physrev.47.777,
REF004,"Born M., Jordan P. Zur Quantenmechanik[J]. Zeitschrift f�r Physik, 1925, 34(1): 858-888. DOI: 10.1007/bf01328531.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1007/bf01328531,
REF005,"W. Heisenberg. Über quantentheoretische Umdeutung kinematischer und mechanischer Beziehungen[J]. Z. Phys., 1925, 33: 879.",按原有条目规范化；未独立核实版次、完整页码或出版元数据,,
REF006,"Schrödinger E. Quantisierung als Eigenwertproblem[J]. Annalen der Physik, 1926, 384(4): 361-376. DOI: 10.1002/andp.19263840404.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1002/andp.19263840404,
REF007,"Dirac Paul Adrien Maurice. The quantum theory of the electron[J]. Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character, 1928, 117(778): 610-624. DOI: 10.1098/rspa.1928.0023.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1098/rspa.1928.0023,
REF008,"Weyl Hermann. Elektron und Gravitation. I[J]. Zeitschrift f�r Physik, 1929, 56(5-6): 330-352. DOI: 10.1007/bf01339504.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1007/bf01339504,
REF009,"Yang C. N., Mills R. L. Conservation of Isotopic Spin and Isotopic Gauge Invariance[J]. Physical Review, 1954, 96(1): 191-195. DOI: 10.1103/physrev.96.191.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1103/physrev.96.191,
