来源名,类型,分箱,文件数,字节,状态,归属状态 / 不搬理由
整理,目录,01_整理包_ZXUFT,,6.55 MB,已迁入,待归属（线索：ZXUFT/ZUFT/Z′ 常数，与 S02/S12「空间光速螺旋」域相邻）
TUFT_E7_E18_E24_独立复核.py,文件,02_TUFT_来源,,9.28 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_torsion_simulation.png,文件,02_TUFT_来源,,155.04 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_torsion_simulation.py,文件,02_TUFT_来源,,3.67 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v11_打靶门禁状态_OPEN.md,文件,02_TUFT_来源,,2.75 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v13_反射壁独立审计裁决_OPEN.md,文件,02_TUFT_来源,,7.28 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v14_反射壁独立审计裁决_OPEN.md,文件,02_TUFT_来源,,8.48 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v15_合并报告_实频IVP独立复算.md,文件,02_TUFT_来源,,8.24 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v15_实频反射相位独立精算报告.md,文件,02_TUFT_来源,,7.99 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v16_GR反射对照独立审计裁决.md,文件,02_TUFT_来源,,7.66 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v17_odd势坐标独立审计裁决_勘误22.md,文件,02_TUFT_来源,,12.50 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v17_odd微扰势独立审计裁决.md,文件,02_TUFT_来源,,10.14 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v18_严格势实频IVP独立审计裁决.md,文件,02_TUFT_来源,,8.57 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v19_合并报告.md,文件,02_TUFT_来源,,10.93 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v19_极点反馈解析骨架_预审.md,文件,02_TUFT_来源,,4.82 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v19_铃响畸变独立审计裁决_勘误25.md,文件,02_TUFT_来源,,7.89 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v2.0_企业级规格.md,文件,02_TUFT_来源,,20.34 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v20_modifiedQNM独立审计裁决_勘误26.md,文件,02_TUFT_来源,,8.16 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v20_合并报告.md,文件,02_TUFT_来源,,9.43 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v21_合并报告.md,文件,02_TUFT_来源,,8.41 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v21_极点方法独立预审_打靶与朴素谱双否.md,文件,02_TUFT_来源,,7.37 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v21_谱方法连续6墙独立审计裁决_勘误27.md,文件,02_TUFT_来源,1,10.36 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v2_OP-MS突破全景.html,文件,02_TUFT_来源,,9.99 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_v2_结构总览.html,文件,02_TUFT_来源,,10.31 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_三任务统一推导.tex,文件,02_TUFT_来源,,25.48 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_三项任务统一图景.html,文件,02_TUFT_来源,,14.70 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_上传附件_v4.txt,文件,02_TUFT_来源,,12.25 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_企业级归一化主册_v1.0.md,文件,02_TUFT_来源,1,69.31 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_企业级归一化全维架构图_E1-E336.html,文件,02_TUFT_来源,1,46.23 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_强场_光子球与阴影.py,文件,02_TUFT_来源,,7.52 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_强场_光子球阴影_report.txt,文件,02_TUFT_来源,,3.07 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
