现象,特征尺度,主控方程分量,由主方程导出,定量一致性,证据状态,备注
自由落体 / 牛顿引力,宏观,(E) 弱场慢速极限,是,是,已确立,∇²Φ=4πGρ 由 (E) 推出，非独立公设
水星近日点进动,太阳系,(E) Schwarzschild,是,是 42.98″,已确立,C2：预测 42.98″/世纪，实测残差同一值
太阳引力光线偏折,太阳系,(E),是,是 1.751″,已确立,C3：VLBI 实测 1.751±0.002″
引力红移,实验室 / 天文,(E),是,是,已确立,Pound–Rebka；GPS 日常修正
Shapiro 时间延迟,太阳系,(E),是,是,已确立,Cassini 测量符合到 2×10⁻⁵
参考系拖拽（Lense–Thirring）,地球,(E) 旋转源解,是,是,已确立,Gravity Probe B、LAGEOS
引力波辐射,致密双星,(E) 线性化,是,是,已确立,C4：GW150914 辐射 5.5e47 J vs 实测 5.4e47 J
引力波以光速传播,宇宙学,(E) □h=0,是,是,已确立,GW170817：|v−c|/c < 3e−15
引力波仅两种张量极化,天体,(C)+(E),是,未精确定量,部分确立,UFE-1 判据：挠率不传播，无标量/矢量模
黑洞阴影,事件视界尺度,(E) Kerr/Schwarzschild,是,是（~10%）,已确立,EHT M87* 与 Sgr A*
宇宙膨胀（H₀）,宇宙学,(E) Friedmann,是,参数输入,已确立（参数未推导）,H₀ 张力 5σ 未解决
宇宙加速膨胀,宇宙学,Λ 项,否（输入）,否,未解决,L7：Λ 数值与 QFT 真空能差 10¹²⁰
库仑定律 / 1/r²,原子到宏观,(YM) U(1)_em,是,是（<1e−16）,已确立,由光子无质量保证
电磁波,全域,(YM) U(1)_em,是,是,已确立,齐次方程由比安基恒等式给出
静磁场 / 安培力,宏观,(YM) U(1)_em,是,是,已确立,
原子光谱 / 能级,原子,(D)+(YM),树级,是（QED）,已确立（非本项目复算）,本项目只给树级顶点
Lamb 位移,原子,QED 单圈,否（未计算）,已知一致,未复算,不声称本项目完成
电子 / μ子 g−2,精密测量,QED + 弱 + 强圈,否（未计算）,已知一致,未复算,μ子 g−2 存在 4σ 级争议，未解决
β 衰变,核 / 粒子,(YM) SU(2) 破缺,是,是,已确立,G_F/√2 = g₂²/(8m_W²)
W / Z 质量,对撞机,(H)+(YM),是,是 0.04%,已验证 E5.3,"由 G_F, α, m_Z, m_t 算出，非拟合"
中性流,对撞机,(YM) SU(2)×U(1),是,是,已确立,sin²θ_W 决定矢量耦合
宇称最大破缺,弱相互作用,手征场内容,是,是,已确立,Wu 实验；V−A 顶点
CP 破坏（CKM）,味物理,Yukawa 复相位,是（相角为输入）,是,已确立（参数未推导）,CP 相不足以解释重子生成
Higgs 玻色子,LHC,(H),是,是 125.25 GeV,已确立,λ = m_h²/(2v²) = 0.129
中微子振荡,多尺度,(Yukawa) ν_R,是（质量为输入）,是,已确立（参数未推导）,"2026-09-19 L1 修复：纳入 ν_R 后 Dirac 质量 m_ν=y_ν v/√2≠0；质量谱与 PMNS 混合为输入。2026-09-24 表示论引擎把 ν_R 与 see-saw 的**群论部分**变成推导（so10_reps.py R7）：ν^c 是 16_F 里唯一的""色单态+弱单态+Q=0""权重，Majorana 项所需的 −2ν 权重在 dim≤210 内只由一个表示携带、而它恰是对称手征通道的成员 ⇒ 两条独立判据（能耦合手征物质 / 能破 B−L）落在同一个表示上（名字见句末通道表）；通道表（读自 SO10表示论报告.json）：对称 10/126̄、反对称 120、对消 45/210；dim≤210 内唯一携带 −2ν 权重者 126̄；系数与味结构仍为输入"
质子衰变,GUT 尺度,——,不适用,未观测,开放（v1）/ 互斥（SO(10)）,v1 中 B−L 严格守恒 ⇒ τ_p=∞（P4）；但 SO(10) 链探针给 τ_p=3.4e+35–2.1e+39 yr（读自 SO10链统一报告.json，非手抄）⇒ 二者不能同时为真（F5）；若走 SO(10)，B−L 破缺只能取自 126_H/126̄_H（表示论推导，F6）
渐近自由,高能,(YM) SU(3),是,是,已确立,R2.2：α_s(200 GeV) 预测 0.1060 vs 0.1057
喷注（jets）,对撞机,(YM) SU(3),定性,定性,已确立（定性）,部分子模型 + 跑动耦合
色禁闭,低能,(YM) SU(3),否（无解析证明）,—,格点数值确立,Clay 千禧年问题，全人类未解决
质量隙 Δ>0,低能,(YM) SU(3),否,—,未解决,同上
强子质量谱,低能,(YM) SU(3),否,—,需格点计算,m_p=938 MeV 由 Λ_QCD 生成，未能第一性原理算
核力与核结合能,fm,残余强作用,有效理论,是（有效）,已确立（有效理论）,π 交换 Yukawa 势，非主方程直接结果
自旋–自旋挠率效应,高自旋密度,(C) 推论 1.3,是（已推导）,未测,未检验,P3：四费米子接触项，待实验
宇宙反弹（避免奇点）,极早期,(C)+(E),部分,未测,未检验,P3b：ρ_crit 定标未建立
暗物质,星系到宇宙,——,否,否,未解决,L8：v1 场内容无暗物质候选
暗能量,宇宙学,Λ 输入,否,否,未解决,L7
物质–反物质不对称,宇宙学,CKM CP + sphaleron,不足,否,未解决,CP 破坏量级差约 10⁸ 倍
层级问题 M_Pl/M_Z,理论,——,否,否,未解决,L4：比值 1.3e17 无解释
耦合常数统一,高能,β 函数,否（v1）/ 条件性（SO(10)）,否（SM 散布 3.66）,否定性结果 R1 + L10 未闭合,SM 单圈不统一；MSSM 对照可统一；2026-09-23 SO(10) 三链一环：单阈 3221 链定出 M_GUT=2.3e+16–2.0e+17 GeV（三情形并列区间，读自 SO10链统一报告.json）（2026-09-24 F4 撤销后区间左端改由情形 C 给出 ⇒ 区间**变宽**），但依赖链选择与标量谱（其中「B−L 破缺取自哪个表示」已由 so10_reps.py 从 D5 权重格推出、且 2026-09-24 起 11 个表示沿 3221/422 两条链的分支规则系数与 422→3221 跨链匹配（R6.7）也都是算出来的 ⇒ 无 126_H 的情形 B 不算 B−L 破缺，F6），且与 P4 互斥（F5）。同日阈值层（so10_thresholds.py）把「依赖标量谱」精确化为「依赖同一母表示内部的分量分裂」：完整多重态放在共同标度上只平移 α_i⁻¹、不动 M_GUT 与 M_R；两环仍未做 ⇒ 55 + 139 + 55 = 249 项门禁全 PASS
