claim_id,hypothesis_revision,statement,assumptions,derivation,prediction,prediction_value,prediction_urel,run_id,data_id,uncertainty,evidence_level,status,reviewer
S02-C0001,D5-统一力方程,【冲突】统一动量 P=m(c−v) 在 v=0 时给出 P=mc≠0（电子 2.73e-22 kg·m/s），且 m、c 恒定时 F=dP/dt=−ma 与牛顿 F=+ma 反号；恢复 F=+ma 所需前提（c 的数学身份、dm/dt 项或低速退化条件）均未在公设中声明,S02-A1;S02-A2,11_证伪与反例/统一动量低速极限冲突记录.md,,,,,,引擎 M03-n 登记 P(0)=m_e c=2.73e-22 kg·m/s；低速极限符号冲突未量化阈值,mathematical_result,falsified,
S02-C0002,光速螺旋重构,【已确认】圆偏振（θ=0）能流纯轴向且严格以 c 传播：横向 Poynting |S⊥|=0；|S|=ε0·c·E0²；|S|/u=c；ω/K=c。构成「轴向传播恒为 c」重构公理的正向支撑证据,S02-A4；标准自由真空 Maxwell 方程；轴向传播 u≡c 公理,04_理论推导/lightspeed_helix_poynting.py,,,,,,脚本实跑 λ=500nm：|S⊥|=0；|S| 与 ε0cE0² 偏差 8.7e-19；|S|/u=c 偏差 6.0e-8（浮点截断）；ω/K=c 偏差 0.00。仅限标准真空 EM 的圆偏振情形,numerical_check,verified,
S02-C0003,光速螺旋重构,【已确认】光子自旋由偏振椭圆度决定而非 τ：圆偏振每光子自旋=1.000000ℏ（σ=+1）；一般偏振 σ=2ab/(a²+b²)∈[-1、1]、SAM=σℏ；自旋方向=ω_D/|ω_D|=ẑ,S02-A4；标准自由真空 Maxwell 方程,04_理论推导/lightspeed_helix_spin.py,,,,,,|S|/<u>=1/ω 精确吻合；椭圆扫描 (a、b)=(1、1)/(1、0.6)/(1、0) → SAM/ℏ=1.000000/0.882353/0.000000 逐位吻合,mathematical_result,verified,
S02-C0004,光速螺旋重构,【已确认】自由真空横波的场方向曲线必为平面 ⇒ τ≡0 严格（det=0）；正确的推广不变量为 ⟨κ⟩·L=2π（转动切线定理）,标准自由真空 Maxwell 方程（横波条件）；平面/空间曲线微分几何,04_理论推导/lightspeed_helix_polarization.py,,,,,,max|det|=0.0e+00；∮κds/2π=1.000000；⟨κ⟩/K 与 2π/(KL) 逐位吻合（a=1、b=1.0/0.8/0.6/0.4/0.2）,mathematical_result,verified,
S02-C0005,光速螺旋重构,【证伪】τ 不是自由真空的可观测量：「τ↔自旋投影」对应关系不成立；θ=π/2「纯扭转」极限 u_prop=0（传播波完全消失）,S02-A4；标准自由真空 Maxwell 方程,04_理论推导/lightspeed_helix_spin.py,,,,,,草案斜标架 e1 与 θ 无关 ⇒ κ/τ 拆分为绕 e1 转角 θ 的标架规范（ω_D=τe2-κe3≡Kẑ 不变）；正规 T(z) 纵向分量 sinθ 为常量直流；自旋密度与传播能量同按 cos²θ 缩放 ⇒ 每光子自旋恒 ℏ 与 θ 无关,mathematical_result,falsified,
S02-C0006,光速螺旋重构,【证伪/收窄】三重奏 κ²+τ²=K² 不普适：仅在圆偏振（κ≡K 常数、τ=0）成立；一般椭圆偏振 τ=0 而 κ 非常数 ⇒ κ²+τ² 不是常数,S02-A4；标准自由真空 Maxwell 方程,04_理论推导/lightspeed_helix_polarization.py,,,,,,κ(φ)=K·ab/(a²sin²φ+b²cos²φ)^{3/2}、κ_min=Kb/a²、κ_max=Ka/b²；数值表显示 b 偏离 1 时 κ 区间迅速展宽（a=1、b=0.2 → 0.2K~25K）。§12.5「全部可复用」已限定为仅数学形式,mathematical_result,falsified,
S02-C0007,光速螺旋重构（§16）,【已确认】LG$_{0l}$真空涡旋场满足$\nabla_\mu T^{\mu\nu}=0$，全局Noether平移与转动守恒成立,S02-A4；标准自由真空Maxwell方程；Davis非傍轴LG$_{0l}$精确解,04_理论推导/§16_OAM涡旋真空场耦合TUFT螺旋测地线.md,,,,,,,mathematical_result,verified,
S02-C0008,光速螺旋重构（§16）,【已确认】常$\kappa$与$\tau$螺旋世界线Darboux矢量$\boldsymbol\omega_D$在实验室系恒定，$d\boldsymbol\omega_D/ds=0$,S02-A4；闵氏背景平坦度规；类时世界线弧长参数$s$,04_理论推导/§16_OAM涡旋真空场耦合TUFT螺旋测地线.md,,,,,,,mathematical_result+numerical_check,verified,
S02-C0009,光速螺旋重构（§16）,【已确认】耦合强度$\langle J_\text{coupl}\rangle=\hbar(l+s_z)\sqrt{\kappa^2+\tau^2}$，线性依赖拓扑荷$l$,S02-A4；实验室固定偏振+LG$_{0l}$涡旋相位拓扑；常$\kappa$与$\tau$基准,04_理论推导/§16_OAM涡旋真空场耦合TUFT螺旋测地线.md,,,,,,,mathematical_result+numerical_check,verified,
S02-C0010,光速螺旋重构（§16）,【证伪】§13将Frenet随动标架作为电磁偏振基的方案破坏Maxwell方程与Noether守恒（场拟设不满足无源Maxwell，$\nabla_\mu T^{\mu\nu}\neq0$）,S02-A4；原§13随动偏振标架耦合方案,04_理论推导/§13_动量密度_Darboux映射_模型对比与实验判据.md,,,,,,,mathematical_result+numerical_check,falsified,
S02-C0011,光速螺旋重构（§16）,【证伪】$\tau$不是真空电磁场独立自旋可观测量；「$\tau\leftrightarrow$自旋投影」对应关系不成立,S02-A4；标准自由真空Maxwell方程,04_理论推导/§16_OAM涡旋真空场耦合TUFT螺旋测地线.md,,,,,,,mathematical_result,falsified,
S02-C0012,光速螺旋重构（§16）,【已确认】共振条件解析判据为$\kappa^2+\tau^2=k^2$且$l+s_z\neq0$（无纯数值搜参）,S02-A4；实验室固定偏振+LG$_{0l}$涡旋；常$\kappa$与$\tau$基准螺旋世界线,04_理论推导/§16_OAM涡旋真空场耦合TUFT螺旋测地线.md,,,,,,,mathematical_result,verified,
S02-C0013,16.7-TUFT四力耦合,【证伪】§16.7 提议的四力 f^mu = u_nu ∇_alpha T^{alpha mu} 不成立：真空（无源）Maxwell 场有 ∇_alpha T^{alpha mu} ≡ 0 ⇒ 该投影恒为零、中性粒子不可能被无电荷驱动；审计脚本 sympy 精确化简显示 P^mu ≡ Q^mu 且各自非零 ⇒ 其非零结果恰等于被丢弃的迹项 -(1/4)∇^mu(F_rs F^rs)；且 u_nu 的指标 nu 在 T^{alpha mu} 中无对应位置、缩并后为二阶张量而非四矢量,§16.7 自行选定的 T^{alpha mu}=F^{a s}F^m_s-1/4 eta^{am}F_rs F^rs；无源 Maxwell ∂_a F^{am}=0；平直闵氏度规 diag(1、-1、-1、-1),04_理论推导/sec16_7_fourforce_audit.py,,,,,,测试场为两束不同方向平面波叠加（k^2=0 且 k·eps=0 已校验）⇒ 严格真空解；不变量 F_rs F^rs=(4/5)cos(t-z)cos(-t+3x/5+4z/5) 随位置振荡（非平凡）；∇_a T^{am} 精确恒零（残差 0.000e+00）；P、Q 各自最大残差 1.916e-01 且 P-Q 精确恒零,mathematical_result,falsified,
